puma,month,day_group,ridership
4308,2,weekend,43946.67
4309,2,total,2030307.02
4309,2,weekday,1684131.0
4309,2,weekend,346176.01
4310,2,total,715378.01
4310,2,weekday,609561.34
4310,2,weekend,105816.66
4311,2,total,1468187.34
4311,2,weekday,1206771.99
4311,2,weekend,261415.34
4312,2,total,903827.66
4312,2,weekday,757626.34
4312,2,weekend,146201.32
4313,2,total,824615.65
4313,2,weekday,687675.67
4313,2,weekend,136940.0
4314,2,total,1806856.33
4314,2,weekday,1539748.99
4314,2,weekend,267107.34
4315,2,total,1241270.01
4315,2,weekday,1058288.67
4315,2,weekend,182981.33
4316,2,total,1340420.18
4316,2,weekday,1102359.67
4316,2,weekend,238060.5
4317,2,total,502019.67
4317,2,weekday,421623.66
4317,2,weekend,80396.0
4318,2,total,276497.67
4318,2,weekday,236775.67
4318,2,weekend,39722.0
4401,2,total,2653037.5
4401,2,weekday,2249245.68
4401,2,weekend,403791.83
4402,2,total,3080827.98
4402,2,weekday,2601170.66
4402,2,weekend,479657.33
4403,2,total,1035941.34
4403,2,weekday,826787.33
4403,2,weekend,209154.01
4404,2,total,4156393.34
4404,2,weekday,3389254.67
4404,2,weekend,767138.67
4405,2,total,525532.0
4405,2,weekday,443150.66
4405,2,weekend,82381.33
4406,2,total,1289855.0
4406,2,weekday,1098324.34
4406,2,weekend,191530.67
4407,2,total,1375056.33
4407,2,weekday,1109350.0
4407,2,weekend,265706.33
4409,2,total,637551.0
4409,2,weekday,560395.68
4409,2,weekend,77155.32
4410,2,total,700258.01
4410,2,weekday,586762.01
4410,2,weekend,113496.0
4412,2,total,2338651.01
4412,2,weekday,2013146.66
4412,2,weekend,325504.33
4414,2,total,407082.34
4414,2,weekday,339344.68
4414,2,weekend,67737.67
4103,3,total,2939211.34
4103,3,weekday,2323338.0
4103,3,weekend,615873.34
4104,3,total,4648794.65
4104,3,weekday,3746985.67
4104,3,weekend,901809.0
4107,3,total,7895162.67
4107,3,weekday,6383246.83
4107,3,weekend,1511915.84
4108,3,total,6587304.0
4108,3,weekday,5511414.66
4108,3,weekend,1075889.33
4109,3,total,2972514.34
4109,3,weekday,2395323.35
4109,3,weekend,577190.99
4110,3,total,2031288.66
4110,3,weekday,1675616.33
4110,3,weekend,355672.33
4111,3,total,2341838.0
4111,3,weekday,1926256.67
4111,3,weekend,415581.33
4112,3,total,3474029.49
4112,3,weekday,2823888.18
4112,3,weekend,650141.33
4121,3,total,16033730.66
4121,3,weekday,13552305.99
