complex_id,month,day_group,ridership
91,1,weekday,47134.5
91,1,weekend,8322.5
93,1,total,84963.5
93,1,weekday,71979.0
93,1,weekend,12984.5
94,1,total,163681.0
94,1,weekday,138090.5
94,1,weekend,25590.5
95,1,total,180426.5
95,1,weekday,154419.0
95,1,weekend,26007.5
96,1,total,150722.0
96,1,weekday,128445.0
96,1,weekend,22277.0
97,1,total,317585.5
97,1,weekday,270667.0
97,1,weekend,46918.5
98,1,total,182350.0
98,1,weekday,168077.0
98,1,weekend,14273.0
99,1,total,107205.0
99,1,weekday,98396.0
99,1,weekend,8809.0
100,1,total,60784.0
100,1,weekday,57062.5
100,1,weekend,3721.5
101,1,total,308085.0
101,1,weekday,277387.5
101,1,weekend,30697.5
103,1,total,85780.0
103,1,weekday,70458.0
103,1,weekend,15322.0
107,1,total,155364.0
107,1,weekday,149250.5
107,1,weekend,6113.5
108,1,total,72331.0
108,1,weekday,67563.5
108,1,weekend,4767.5
109,1,total,104514.5
109,1,weekday,98263.5
109,1,weekend,6251.0
110,1,total,66702.5
110,1,weekday,63302.5
110,1,weekend,3400.0
111,1,total,34707.0
111,1,weekday,33639.0
111,1,weekend,1068.0
113,1,total,87551.0
113,1,weekday,87511.0
113,1,weekend,40.0
114,1,total,80360.0
114,1,weekday,80310.0
114,1,weekend,50.0
118,1,total,185977.5
118,1,weekday,145134.0
118,1,weekend,40843.5
119,1,total,566140.5
119,1,weekday,453117.0
119,1,weekend,113023.5
120,1,total,715857.0
120,1,weekday,550371.5
120,1,weekend,165485.5
122,1,total,260530.0
122,1,weekday,214918.0
122,1,weekend,45612.0
123,1,total,182432.5
123,1,weekday,153213.5
123,1,weekend,29219.0
124,1,total,193508.5
124,1,weekday,152979.5
124,1,weekend,40529.0
125,1,total,205586.0
125,1,weekday,160575.5
125,1,weekend,45010.5
126,1,total,203246.5
126,1,weekday,160812.5
126,1,weekend,42434.0
127,1,total,340357.0
127,1,weekday,276152.0
127,1,weekend,64205.0
129,1,total,215163.5
129,1,weekday,178433.0
129,1,weekend,36730.5
130,1,total,117275.5
130,1,weekday,95680.0
130,1,weekend,21595.5
131,1,total,55649.5
131,1,weekday,44949.5
131,1,weekend,10700.0
133,1,total,45707.5
133,1,weekday,39707.5
133,1,weekend,6000.0
134,1,total,101477.5
134,1,weekday,86722.0
134,1,weekend,14755.5
135,1,total,77512.5
135,1,weekday,66500.5
135,1,weekend,11012.0
136,1,total,119729.0
136,1,weekday,102855.0
136,1,weekend,16874.0
137,1,total,90688.5
137,1,weekday,79203.0
137,1,weekend,11485.5
138,1,total,285726.5
138,1,weekday,248571.5
138,1,weekend,37155.0
141,1,total,45440.0
141,1,weekday,38579.0
141,1,weekend,6861.0
143,1,total,237268.0
143,1,weekday,201003.5
143,1,weekend,36264.5
144,1,total,166306.5
144,1,weekday,139075.0
144,1,weekend,27231.5
145,1,total,114799.5
145,1,weekday,97260.0
145,1,weekend,17539.5
146,1,total,279932.5
146,1,weekday,234020.0
146,1,weekend,45912.5
147,1,total,310787.0
147,1,weekday,262667.5
147,1,weekend,48119.5
149,1,total,106101.0
149,1,weekday,87468.0
149,1,weekend,18633.0
150,1,total,69612.5
150,1,weekday,58070.5
150,1,weekend,11542.0
151,1,total,573453.0
151,1,weekday,470179.0
151,1,weekend,103274.0
152,1,total,129921.5
152,1,weekday,113119.5
152,1,weekend,16802.0
153,1,total,704493.5
153,1,weekday,577681.0
153,1,weekend,126812.5
154,1,total,177602.0
154,1,weekday,150330.5
154,1,weekend,27271.5
155,1,total,165170.0
155,1,weekday,137991.0
155,1,weekend,27179.0
156,1,total,113168.0
156,1,weekday,95933.5
156,1,weekend,17234.5
157,1,total,230237.0
157,1,weekday,204524.0
157,1,weekend,25713.0
158,1,total,238002.0
158,1,weekday,209920.0
158,1,weekend,28082.0
159,1,total,303553.0
159,1,weekday,248633.0
159,1,weekend,54920.0
160,1,total,182642.0
160,1,weekday,155527.0
160,1,weekend,27115.0
162,1,total,514640.5
162,1,weekday,416622.5
162,1,weekend,98018.0
164,1,total,1992007.5
164,1,weekday,1708418.5
164,1,weekend,283589.0
165,1,total,566731.5
165,1,weekday,486723.0
165,1,weekend,80008.5
167,1,total,1031765.5
167,1,weekday,820024.0
167,1,weekend,211741.5
168,1,total,311840.5
168,1,weekday,275464.0
168,1,weekend,36376.5
169,1,total,481923.5
169,1,weekday,423243.0
169,1,weekend,58680.5
173,1,total,236691.5
173,1,weekday,196088.0
173,1,weekend,40603.5
175,1,total,272943.0
175,1,weekday,226243.0
175,1,weekend,46700.0
176,1,total,128736.5
176,1,weekday,103561.0
176,1,weekend,25175.5
177,1,total,179396.5
177,1,weekday,153539.5
177,1,weekend,25857.0
179,1,total,450563.5
179,1,weekday,369923.0
179,1,weekend,80640.5
180,1,total,165269.0
180,1,weekday,139096.0
180,1,weekend,26173.0
181,1,total,415817.0
181,1,weekday,343698.5
181,1,weekend,72118.5
182,1,total,148079.5
182,1,weekday,122533.5
182,1,weekend,25546.0
183,1,total,144790.5
183,1,weekday,121278.5
183,1,weekend,23512.0
185,1,total,69001.5
185,1,weekday,59611.0
185,1,weekend,9390.5
186,1,total,77469.0
186,1,weekday,65369.5
186,1,weekend,12099.5
187,1,total,81496.5
187,1,weekday,69468.0
187,1,weekend,12028.5
188,1,total,260296.5
188,1,weekday,220861.5
188,1,weekend,39435.0
189,1,total,150733.0
189,1,weekday,127789.0
189,1,weekend,22944.0
190,1,total,106292.0
190,1,weekday,90765.5
190,1,weekend,15526.5
191,1,total,69141.0
191,1,weekday,60194.5
191,1,weekend,8946.5
192,1,total,188254.5
192,1,weekday,159584.5
192,1,weekend,28670.0
193,1,total,43878.0
193,1,weekday,38600.0
193,1,weekend,5278.0
194,1,total,61521.5
194,1,weekday,55070.5
194,1,weekend,6451.0
195,1,total,184858.0
195,1,weekday,160697.0
195,1,weekend,24161.0
196,1,total,48746.5
196,1,weekday,34082.5
196,1,weekend,14664.0
197,1,total,21939.5
197,1,weekday,19353.0
197,1,weekend,2586.5
198,1,total,59438.5
198,1,weekday,48233.0
198,1,weekend,11205.5
199,1,total,7140.5
199,1,weekday,6647.5
199,1,weekend,493.0
200,1,total,18498.5
200,1,weekday,16208.0
200,1,weekend,2290.5
201,1,total,10141.5
201,1,weekday,9166.5
201,1,weekend,975.0
202,1,total,5115.5
202,1,weekday,4799.0
202,1,weekend,316.5
203,1,total,15056.0
203,1,weekday,12972.0
203,1,weekend,2084.0
204,1,total,52987.0
204,1,weekday,45906.5
204,1,weekend,7080.5
205,1,total,51173.5
205,1,weekday,44330.5
205,1,weekend,6843.0
206,1,total,17451.5
206,1,weekday,15052.5
206,1,weekend,2399.0
207,1,total,22456.0
207,1,weekday,19504.0
207,1,weekend,2952.0
208,1,total,44014.5
208,1,weekday,38994.5
208,1,weekend,5020.0
209,1,total,109092.0
209,1,weekday,95282.0
209,1,weekend,13810.0
210,1,total,217266.0
210,1,weekday,184292.5
210,1,weekend,32973.5
211,1,total,180239.0
211,1,weekday,153641.5
211,1,weekend,26597.5
212,1,total,202060.5
212,1,weekday,170580.5
212,1,weekend,31480.0
213,1,total,289692.0
213,1,weekday,242101.5
213,1,weekend,47590.5
214,1,total,123872.5
214,1,weekday,103106.0
214,1,weekend,20766.5
215,1,total,247931.0
215,1,weekday,209803.5
215,1,weekend,38127.5
216,1,total,113840.0
216,1,weekday,94295.0
216,1,weekend,19545.0
217,1,total,186269.5
217,1,weekday,155205.0
217,1,weekend,31064.5
218,1,total,148392.0
218,1,weekday,119515.0
218,1,weekend,28877.0
220,1,total,92683.5
220,1,weekday,77709.5
220,1,weekend,14974.0
221,1,total,248291.5
221,1,weekday,219721.5
221,1,weekend,28570.0
222,1,total,166472.0
222,1,weekday,146389.5
222,1,weekend,20082.5
223,1,total,491663.0
223,1,weekday,429629.0
223,1,weekend,62034.0
224,1,total,264224.0
224,1,weekday,246987.0
224,1,weekend,17237.0
225,1,total,1394317.0
225,1,weekday,1307220.5
225,1,weekend,87096.5
228,1,total,544811.0
228,1,weekday,512434.0
228,1,weekend,32377.0
231,1,total,567491.5
231,1,weekday,491902.5
231,1,weekend,75589.0
232,1,total,410324.0
232,1,weekday,345237.0
232,1,weekend,65087.0
