complex_id,month,entries,exits
398,1,690157.0,679333.0
399,1,525923.0,415545.3333333333
403,1,748405.0,567832.0
404,1,481539.0,479675.0
405,1,616512.0,480500.3333333333
407,1,413894.0,439650.0
409,1,283825.3333333333,308568.3333333333
413,1,458772.3333333333,345418.0
414,1,671957.3333333334,585109.0
416,1,131712.66666666666,137984.66666666666
417,1,87353.66666666667,33996.666666666664
418,1,126239.33333333333,39971.333333333336
419,1,108554.33333333333,50164.333333333336
420,1,83830.33333333333,43251.0
421,1,187683.0,206929.0
422,1,85134.66666666667,33357.333333333336
423,1,135411.0,56070.0
424,1,219033.33333333334,105366.0
425,1,62965.666666666664,26884.0
426,1,193901.66666666666,161675.66666666666
427,1,182361.33333333334,107728.66666666667
428,1,148534.33333333334,134554.33333333334
429,1,121465.66666666667,99221.33333333333
430,1,225893.0,64121.0
431,1,82886.66666666667,82614.66666666667
432,1,189318.0,56947.0
433,1,140838.66666666666,28203.666666666668
434,1,517797.3333333333,241360.0
436,1,99184.0,94184.66666666667
437,1,88543.25,4798.25
438,1,372438.0,115340.66666666667
439,1,308915.6666666667,156330.0
440,1,288965.3333333333,136013.33333333334
441,1,224068.33333333334,193906.0
442,1,101102.0,108465.33333333333
443,1,88139.66666666667,15120.666666666666
444,1,127547.0,35714.333333333336
445,1,72580.33333333333,53149.666666666664
446,1,56979.0,57084.666666666664
447,1,1466044.3333333333,1186619.6666666667
448,1,61424.0,59948.333333333336
449,1,293129.3333333333,190567.66666666666
450,1,523562.3333333333,393266.0
451,1,553729.3333333334,447908.0
452,1,434242.6666666667,203738.66666666666
453,1,390489.0,453676.0
455,1,120193.66666666667,121238.0
456,1,425401.6666666667,453971.6666666667
457,1,146038.66666666666,139406.66666666666
458,1,325493.0,251706.66666666666
459,1,246958.0,219898.66666666666
460,1,254533.0,193775.0
461,1,355846.6666666667,115304.66666666667
463,1,166605.33333333334,137838.0
464,1,371848.6666666667,262125.0
471,1,223150.0,250322.25
475,1,449471.3333333333,343706.0
476,1,644241.0,486842.0
477,1,716816.6666666666,628891.3333333334
601,1,1054766.6666666667,861755.0
602,1,2689713.0,2359490.0
603,1,322802.0,207326.66666666666
604,1,525697.0,290082.3333333333
605,1,645319.5,474663.25
606,1,556141.6666666666,405232.3333333333
607,1,2895307.0,2752586.3333333335
608,1,331632.6666666667,289616.3333333333
609,1,1305618.6666666667,1218801.3333333333
610,1,3696071.0,3340096.6666666665
611,1,4769564.666666667,4100301.6666666665
612,1,1511560.3333333333,1623893.0
613,1,1391917.3333333333,1240298.3333333333
614,1,1773148.0,1418025.3333333333
615,1,133940.33333333334,79772.33333333333
616,1,1365529.6666666667,1091164.3333333333
617,1,1170008.3333333333,1068360.6666666667
618,1,1083932.3333333333,762884.3333333334
619,1,939017.0,852338.0
620,1,876743.3333333334,571034.3333333334
621,1,240677.0,208611.0
622,1,681680.6666666666,573096.3333333334
623,1,1137084.6666666667,860025.3333333334
624,1,1608176.6666666667,1125552.6666666667
625,1,642941.6666666666,490305.6666666667
626,1,313529.6666666667,239772.66666666666
627,1,167450.66666666666,167155.66666666666
628,1,2128588.6666666665,1796308.6666666667
629,1,399362.3333333333,183747.0
630,1,569651.0,343176.0
635,1,772016.0,681298.3333333334
636,1,1001477.3333333334,572097.3333333334
271,1,398095.6666666667,290128.3333333333
272,1,125169.66666666667,85018.33333333333
273,1,297748.3333333333,253375.66666666666
276,1,609782.0,656101.6666666666
277,1,425867.3333333333,478034.0
278,1,1096361.3333333333,974204.3333333334
279,1,580852.3333333334,475277.3333333333
280,1,120997.0,140286.33333333334
282,1,49691.0,51927.666666666664
283,1,252141.0,177783.0
284,1,240828.33333333334,145702.66666666666
286,1,119569.66666666667,95579.66666666667
287,1,75803.33333333333,77204.0
288,1,153789.33333333334,83160.66666666667
289,1,229042.33333333334,128004.0
290,1,136055.66666666666,133327.66666666666
291,1,129926.0,19293.666666666668
292,1,146432.0,113032.0
293,1,183529.33333333334,76791.0
294,1,98026.5,4699.25
295,1,253276.33333333334,35608.0
296,1,141753.33333333334,32073.0
297,1,50635.333333333336,20113.666666666668
298,1,170606.0,79891.66666666667
299,1,189315.0,119741.33333333333
300,1,219497.66666666666,244045.66666666666
301,1,309131.0,318360.3333333333
303,1,306293.6666666667,213990.0
304,1,267696.3333333333,203265.33333333334
305,1,335762.3333333333,291546.0
306,1,196855.66666666666,203812.0
307,1,344798.0,179073.66666666666
308,1,323443.3333333333,177081.66666666666
309,1,338895.3333333333,170905.66666666666
310,1,971095.3333333334,961867.3333333334
311,1,508746.6666666667,494543.3333333333
312,1,418501.6666666667,217804.0
313,1,1002151.6666666666,862547.3333333334
314,1,625202.6666666666,567014.0
316,1,655240.3333333334,621958.0
318,1,2145710.6666666665,1818255.6666666667
319,1,350190.3333333333,235700.0
320,1,381212.6666666667,312495.6666666667
321,1,222493.33333333334,139077.66666666666
323,1,245312.66666666666,219910.33333333334
324,1,362182.0,233660.66666666666
325,1,148514.33333333334,131919.33333333334
326,1,146137.33333333334,91165.66666666667
327,1,480546.3333333333,429668.0
328,1,325906.0,256251.0
329,1,223814.66666666666,137045.0
333,1,571038.0,547321.6666666666
334,1,128289.0,65181.666666666664
336,1,175069.0,148483.0
337,1,257857.66666666666,247303.66666666666
339,1,100328.66666666667,81765.33333333333
340,1,189972.66666666666,69531.33333333333
341,1,116788.66666666667,110510.33333333333
343,1,107253.0,106429.0
344,1,122870.0,102971.66666666667
345,1,700637.3333333334,515628.0
346,1,180785.33333333334,158717.66666666666
347,1,135530.0,138880.0
348,1,133743.33333333334,139252.66666666666
349,1,55153.333333333336,49976.666666666664
350,1,75714.0,38829.0
351,1,96326.33333333333,101463.0
352,1,149690.66666666666,147518.66666666666
353,1,98680.66666666667,110006.66666666667
354,1,144057.0,92670.66666666667
355,1,177233.66666666666,36697.0
356,1,235891.33333333334,52936.666666666664
357,1,107881.33333333333,20633.666666666668
358,1,184927.33333333334,123892.66666666667
359,1,437486.6666666667,251535.66666666666
360,1,177042.66666666666,105424.33333333333
361,1,92538.33333333333,87394.66666666667
362,1,51580.333333333336,48971.666666666664
363,1,154761.0,140822.33333333334
364,1,67025.66666666667,61167.333333333336
365,1,171175.66666666666,171293.33333333334
366,1,404490.3333333333,427262.6666666667
367,1,108084.0,101550.0
368,1,168530.0,141094.66666666666
369,1,169314.66666666666,162747.0
370,1,49539.333333333336,51562.666666666664
371,1,267658.0,220292.0
372,1,88320.66666666667,78712.33333333333
373,1,127570.0,118371.0
374,1,25106.333333333332,28333.0
375,1,99564.0,67106.66666666667
376,1,162442.66666666666,146992.33333333334
377,1,207201.33333333334,143773.0
378,1,173877.0,37789.333333333336
379,1,213079.66666666666,66579.0
380,1,130514.33333333333,98022.66666666667
381,1,228500.66666666666,114167.33333333333
382,1,272378.6666666667,54315.0
383,1,155491.0,83346.33333333333
384,1,262083.33333333334,147339.66666666666
385,1,147073.33333333334,82131.66666666667
386,1,129497.66666666667,92725.0
387,1,209481.33333333334,160432.66666666666
388,1,226559.33333333334,228722.33333333334
391,1,81531.33333333333,70635.66666666667
392,1,644956.0,601590.3333333334
393,1,389026.3333333333,236345.66666666666
394,1,299367.3333333333,246063.33333333334
395,1,357200.3333333333,310450.0
396,1,461427.6666666667,137172.33333333334
397,1,1147916.3333333333,1043261.6666666666
141,1,47478.0,54310.333333333336
143,1,238079.33333333334,111993.0
144,1,170627.0,5176.0
145,1,100561.33333333333,35727.333333333336
146,1,284429.6666666667,234040.0
147,1,321574.3333333333,174821.33333333334
149,1,113442.75,53049.0
150,1,71328.33333333333,59784.333333333336
151,1,589657.0,569904.6666666666
152,1,133493.0,104030.66666666667
153,1,727300.0,594200.3333333334
154,1,183162.66666666666,98214.66666666667
155,1,181362.5,107916.5
156,1,115784.33333333333,79071.66666666667
157,1,234424.66666666666,184687.33333333334
158,1,264456.75,144573.5
159,1,316959.6666666667,262136.0
160,1,203390.75,181308.25
162,1,522453.6666666667,333007.0
164,1,2020866.6666666667,1817674.6666666667
165,1,578937.6666666666,377145.6666666667
167,1,1049330.3333333333,968278.3333333334
168,1,308480.6666666667,61423.0
169,1,480294.3333333333,420019.3333333333
173,1,234390.66666666666,219010.66666666666
175,1,275024.6666666667,235775.33333333334
176,1,130384.33333333333,55435.0
177,1,160191.66666666666,132239.66666666666
179,1,465574.6666666667,322715.3333333333
180,1,167713.0,140302.33333333334
181,1,426543.3333333333,326324.0
182,1,151909.66666666666,77104.66666666667
183,1,146917.66666666666,89191.66666666667
185,1,73508.0,34866.666666666664
186,1,81900.66666666667,76649.66666666667
187,1,85113.66666666667,44008.0
188,1,270127.0,81539.33333333333
189,1,157377.66666666666,129505.0
190,1,108297.33333333333,62002.333333333336
191,1,70993.66666666667,29264.666666666668
192,1,193739.33333333334,61256.666666666664
193,1,38524.666666666664,16236.666666666666
194,1,61504.333333333336,22741.333333333332
195,1,187901.66666666666,153618.33333333334
196,1,50630.666666666664,5284.0
197,1,23659.333333333332,45225.0
198,1,99458.66666666667,116682.33333333333
199,1,7335.0,1908.6666666666667
200,1,19592.666666666668,17762.666666666668
201,1,11168.333333333334,11684.333333333334
202,1,5603.666666666667,6905.666666666667
203,1,15702.333333333334,20094.666666666668
204,1,56959.0,44568.0
205,1,56201.0,44737.666666666664
206,1,18352.333333333332,19882.333333333332
207,1,24102.333333333332,25584.333333333332
208,1,46996.666666666664,52274.333333333336
209,1,121639.33333333333,127511.66666666667
210,1,223519.0,161941.0
211,1,183660.66666666666,110907.33333333333
212,1,207984.33333333334,154810.0
213,1,300805.3333333333,147623.0
214,1,114990.0,47287.0
215,1,256294.33333333334,153614.33333333334
216,1,134020.0,55654.25
217,1,190461.66666666666,96775.66666666667
218,1,239538.0,106163.5
220,1,98797.33333333333,52150.666666666664
221,1,249654.33333333334,173123.33333333334
222,1,169561.33333333334,158813.66666666666
223,1,449334.3333333333,465906.3333333333
224,1,345465.75,311339.75
225,1,1431633.0,1456278.6666666667
228,1,609300.0,564664.5
231,1,614379.3333333334,412667.0
232,1,419714.3333333333,425705.3333333333
234,1,353469.0,170480.33333333334
235,1,251265.33333333334,109761.33333333333
236,1,298274.3333333333,180716.33333333334
237,1,299022.6666666667,129045.66666666667
238,1,119647.66666666667,142156.0
240,1,304565.0,158095.0
241,1,162277.33333333334,91174.33333333333
242,1,149847.66666666666,52224.666666666664
243,1,257131.0,171753.66666666666
244,1,96715.66666666667,54327.333333333336
245,1,102883.66666666667,55441.0
246,1,35811.333333333336,8238.333333333334
247,1,19736.333333333332,4709.666666666667
248,1,61104.666666666664,22585.666666666668
249,1,47540.0,11167.666666666666
250,1,116130.0,95091.0
251,1,39274.666666666664,11983.0
252,1,65796.0,30748.666666666668
253,1,39295.333333333336,14513.0
254,1,522721.0,229157.66666666666
255,1,209612.66666666666,183821.33333333334
256,1,169973.66666666666,166379.33333333334
257,1,114056.66666666667,72138.33333333333
258,1,127326.0,65737.66666666667
259,1,651086.3333333334,653321.0
260,1,89744.0,12939.666666666666
261,1,685163.3333333334,351603.6666666667
262,1,226356.33333333334,111574.33333333333
263,1,402952.3333333333,150886.0
264,1,541860.6666666666,298360.3333333333
265,1,405425.3333333333,262005.33333333334
266,1,314341.0,74465.66666666667
268,1,94859.33333333333,70444.33333333333
269,1,177477.33333333334,146020.33333333334
270,1,228648.0,186601.66666666666
1,1,413933.0,368239.6666666667
2,1,336964.25,243445.0
3,1,379725.6666666667,324240.0
4,1,263673.5,216506.0
5,1,199450.0,176900.0
6,1,74919.33333333333,54416.333333333336
8,1,406161.0,291583.3333333333
9,1,855083.6666666666,463057.3333333333
10,1,662164.3333333334,557423.6666666666
13,1,340934.0,372798.6666666667
14,1,609552.3333333334,333075.0
16,1,433251.0,315897.6666666667
17,1,391248.0,377173.3333333333
20,1,158638.33333333334,86993.33333333333
22,1,176453.66666666666,58108.333333333336
26,1,536308.3333333334,222701.0
28,1,177837.0,140883.0
30,1,142493.66666666666,114593.0
31,1,96697.0,77701.33333333333
32,1,354384.3333333333,204668.66666666666
33,1,175358.66666666666,109290.0
34,1,200549.66666666666,155133.0
35,1,299101.0,136555.0
36,1,191739.66666666666,102750.0
37,1,140744.33333333334,51994.333333333336
38,1,290007.3333333333,167077.66666666666
39,1,147807.33333333334,90558.0
41,1,266689.3333333333,247382.33333333334
42,1,257068.66666666666,208209.33333333334
43,1,162695.0,115721.0
44,1,429767.6666666667,433127.6666666667
45,1,86009.33333333333,78096.66666666667
46,1,167499.0,49687.666666666664
47,1,269000.0,251723.0
48,1,77755.33333333333,61512.666666666664
49,1,155426.66666666666,77061.0
50,1,151628.0,61915.333333333336
51,1,490987.0,423297.0
52,1,192050.0,71176.0
53,1,113499.0,32494.0
54,1,345342.0,308546.3333333333
55,1,293333.3333333333,181545.33333333334
