puma,month,entries,exits
4208,5,729318.4,253020.2
4208,6,679744.6,237211.6
4208,7,657027.2000000001,239367.6
4208,8,666859.8,232832.4
4208,9,711894.8,254099.6
4208,10,777329.4,274573.6
4208,11,716046.2,250658.0
4208,12,691401.2,227974.4
4209,1,845622.0,821941.8
4209,2,800283.6,773672.4
4209,3,916452.6,883294.6
4209,4,884818.6,857036.3999999999
4209,5,930523.6,904198.8
4209,6,884758.8,871384.6000000001
4209,7,847268.8,844159.4
4209,8,858008.6,852613.0
4209,9,881296.6,859052.2
4209,10,946280.2,913548.2
4209,11,882419.8,860066.0
4209,12,878897.0,851332.8
4210,1,697451.6,598236.8
4210,2,661481.0,562676.6
4210,3,758685.8,649860.6
4210,4,720354.0,617119.3999999999
4210,5,763661.8,655291.4
4210,6,752032.0,650911.8
4210,7,710973.2,620527.0
4210,8,713394.6,627949.6000000001
4210,9,735893.6,643970.8
4210,10,775097.2,672187.8
4210,11,725338.0,628835.4
4210,12,721594.6000000001,622844.0
4211,1,626159.6,305276.6
4211,2,600942.4,285316.4
4211,3,683590.0,330853.2
4211,4,646983.0,313524.8
4211,5,685668.2,333746.4
4211,6,661609.6,321072.0
4211,7,614600.4,302497.2
4211,8,606061.6,302025.2
4211,9,628895.4,306397.6
4211,10,685991.4,335696.6
4211,11,633831.4,311012.2
4211,12,622133.6,305664.4
4212,1,1025733.8,664594.6
4212,2,971933.6,621682.4
4212,3,1111384.2,712664.4
4212,4,1054133.6,682617.8
4212,5,1129610.2,748053.8
4212,6,1064753.6,703712.6
4212,7,992460.0,662536.0
4212,8,975185.4,649339.8
4212,9,1013808.6,668173.8
4212,10,1126765.4,727739.0
4212,11,1054677.4,683449.2
4212,12,1037278.6,674376.0
4221,1,2611024.2,1585725.4
4221,2,2504891.6,1499781.2
4221,3,2864263.2,1704871.6
4221,4,2711681.0,1629171.0
4221,5,2859318.8,1721322.0
4221,6,2680151.6,1661756.8
4221,7,2491044.0,1608599.2
4221,8,2459037.8,1637839.6
4221,9,2624824.6,1649860.0
4221,10,2889971.8000000003,1757071.6
4221,11,2716755.6,1643129.2
4221,12,2653694.0,1598530.8
4263,1,726995.2,542172.7999999999
4263,2,679896.2,508365.6
4263,3,794096.8,594556.4
4263,4,761651.6,589618.6
4263,5,811723.0,630365.8
4263,6,769209.4,614175.8
4263,7,706489.8,577290.0
4263,8,689974.8,566276.0
4263,9,725191.0,571768.6
4263,10,801450.2,619625.2
4263,11,745487.4,571810.6
4263,12,729975.6,560862.7999999999
4301,1,3159608.0,2343225.0
4301,2,2972436.6,2181882.4
4301,3,3403078.8000000003,2497538.6
4301,4,3318720.4,2427902.4
4301,5,3419517.0,2513456.4
4301,6,3376064.2,2529246.8
4301,7,3195535.0,2413864.6
4301,8,3177347.0,2370929.8
4301,9,3278292.6,2416555.8000000003
4301,10,3482812.2,2533498.0
4301,11,3226159.5999999996,2355611.8
4301,12,3126463.4,2323001.6
4302,1,4622194.2,3033288.4
4302,2,4612574.2,2984597.2
4302,3,5258228.2,3381524.8
4302,4,5098132.6,3324841.2
4302,5,5281537.0,3439542.0
4302,6,4971441.6,3305730.8
4302,7,4689865.0,3188488.2
4302,8,4731184.0,3223367.4
4302,9,5085475.8,3389509.6
4302,10,5481783.4,3606545.4
4302,11,5000930.2,3283261.8
4302,12,4815662.0,3214928.6
4303,1,2107504.2,1419416.8
4303,2,2028108.0,1347677.8
4303,3,2317019.0,1544321.8
4303,4,2219412.4,1494814.0
4303,5,2391859.0,1622319.4
4303,6,2252713.6,1533028.2
4303,7,2157200.4,1506806.2
4303,8,2220679.4,1566160.0
4303,9,2218358.0,1529003.6
4303,10,2384284.4,1616171.5999999999
4303,11,2213697.2,1504083.8
4303,12,2141655.2,1454398.8
4304,1,1857114.2,986485.2
4304,2,1748241.0,915509.2
4304,3,2001770.5999999999,1046680.0
4304,4,1924650.2,993093.0
4304,5,1986211.4000000001,1058654.6
4304,6,1965372.6,1053921.8
4304,7,1865176.4,1009958.4
4304,8,1867272.0,1015994.7999999999
4304,9,1922253.2,1030858.2
4304,10,2032505.0,1070278.2
4304,11,1878955.8,993938.2
4304,12,1864945.5999999999,971924.2
4305,1,1604294.8,1169389.6
4305,2,1522468.0,1094411.4
4305,3,1758101.0,1251230.6
4305,4,1655571.2,1217541.0
4305,5,1752582.5999999999,1300272.2
4305,6,1648612.2,1246931.2
4305,7,1584983.6,1223906.0
4305,8,1609137.4,1244284.0
4305,9,1669944.0,1266898.8
4305,10,1774102.4,1328958.4
4305,11,1661302.0,1249477.6
4305,12,1640430.6,1237878.0
4306,1,2802897.0,2160257.0
4306,2,2635292.6,2038665.6
4306,3,3032289.0,2339974.4
4306,4,2906812.1999999997,2234324.0
4306,5,3010411.4,2308906.4
4306,6,2909796.0,2260161.5999999996
4306,7,2618085.0,2113535.0
4306,8,2615752.4,2134939.6
4306,9,2783749.0,2187860.6
4306,10,3101526.6,2426588.0
4306,11,2900586.8,2273415.0
4306,12,2830462.1999999997,2240359.8
4307,1,1898919.0,1241692.2
4307,2,1791055.0,1161064.6
4307,3,2058446.8,1326646.8
4307,4,1970021.8,1281423.4
4307,5,2096554.5999999999,1365343.6
4307,6,1982502.4,1319744.4
4307,7,1856622.0,1247658.0
4307,8,1856409.6,1279728.2
4307,9,1934549.8,1334475.4
4307,10,2122818.6,1428001.2
4307,11,1967284.4,1312394.6
4307,12,1951597.2,1316964.6
4308,1,301525.6,289369.6
4308,2,275517.8,261307.0
4308,3,326349.6,307578.6
4308,4,316271.8,303350.2
4308,5,328523.2,316140.0
4308,6,321951.39999999997,308905.0
4308,7,293361.8,283990.4
4308,8,289420.2,282263.2
4308,9,307426.8,292302.0
4308,10,320587.4,305116.6
4308,11,290402.6,276237.6
4308,12,289561.6,275638.0
4309,1,2089805.2,1553194.4
4309,2,1987653.0,1470314.4
4309,3,2273019.2,1681286.4
4309,4,2197833.6,1635746.2
4309,5,2281277.4,1711193.4
4309,6,2191644.6,1642911.4000000001
4309,7,2050359.0,1551392.4000000001
4309,8,2057397.4,1554212.2
4309,9,2177603.4,1626700.6
4309,10,2325813.4,1713300.4
4309,11,2133269.8,1576714.0
4309,12,2098196.4,1542466.5999999999
4310,1,783096.0,416486.2
4310,2,752465.6,399661.6
4310,3,865501.2,456537.4
4310,4,818984.7999999999,430526.6
4310,5,819396.2000000001,427194.6
4310,6,781060.0,407511.4
4310,7,720148.6,383874.4
4310,8,725214.4,389206.0
4310,9,770007.8,413238.19999999995
4310,10,898336.3999999999,505411.0
4310,11,810868.8,431680.4
4310,12,821780.2,452823.0
4311,1,1610985.8,926945.0
4311,2,1502201.5999999999,873101.2
4311,3,1716802.4,967351.0
4311,4,1595216.2,910156.6
4311,5,1700556.0,955005.4
4311,6,1637822.2,930376.2000000001
4311,7,1597163.4,943651.4
4311,8,1599132.4000000001,938863.7999999999
4311,9,1652981.4,965824.4
4311,10,1748352.0,1009308.8
4311,11,1648648.6,950506.4
4311,12,1664361.8,948608.8
4312,1,1043362.2,697559.8
4312,2,985936.7999999999,668780.6
4312,3,1123698.6,765596.0
4312,4,1046429.2,711496.0
4312,5,1118254.6,771337.4
4312,6,1055340.4,740528.8
4312,7,981600.2,716818.0
4312,8,992454.6,699221.2
4312,9,1047884.0,712523.2
4312,10,1120856.0,740947.4
4312,11,1096356.0,718264.0
4312,12,1077517.8,701589.0
4313,1,893263.0,606874.8
4313,2,846098.4,569972.8
4313,3,1016800.4,678707.2
4313,4,1033350.6,705699.2
4313,5,1189331.8,792986.8
4313,6,1269375.0,867957.0
4313,7,1360612.2,918126.8
4313,8,1293859.2,895704.6
4313,9,1100725.0,762850.6
4313,10,1074453.0,732306.2000000001
4313,11,947889.4,626384.2
4313,12,915214.0,607899.0
4314,1,1852666.2,1313008.2
4314,2,1789414.6,1257479.0
4314,3,2095603.4,1470020.4
4314,4,1977799.6,1412292.5999999999
4314,5,2094873.0,1506811.6
4314,6,1987855.4,1448721.2
4314,7,1870085.6,1379388.6
4314,8,1883801.2,1373778.5999999999
4314,9,1982426.0,1433050.8
4314,10,2094241.0,1507003.6
4314,11,1947081.8,1392699.2
4314,12,1936867.6,1369330.4000000001
4315,1,1314812.5999999999,957630.3999999999
4315,2,1252297.8,906716.4
4315,3,1449954.6,1048106.2000000001
4315,4,1381798.4000000001,1008213.4
4315,5,1463208.4,1071040.0
4315,6,1423847.6,1051470.2
4315,7,1344491.4,1002233.2
4315,8,1350837.8,1002937.6
4315,9,1392280.8,1034300.6
4315,10,1483884.0,1095078.4
4315,11,1389373.6,1022421.4
4315,12,1378738.6,999884.0
4316,1,1413892.6,1063650.8
4316,2,1350330.4,1002972.0
4316,3,1545646.0,1152777.0
4316,4,1442955.0,1096876.4
4316,5,1532124.8,1164303.8
4316,6,1439651.2,1114744.0
4316,7,1407763.6,1120798.2
4316,8,1423527.6,1135763.6
4316,9,1478424.2,1164699.0
4316,10,1538373.4,1209686.8
4316,11,1440509.2,1134245.2
4316,12,1422454.8,1115014.0
4317,1,538831.2,203729.4
4317,2,529581.2,197612.4
4317,3,604039.6000000001,225592.0
4317,4,564216.2,209852.2
4317,5,598653.8,224286.8
4317,6,564833.4,210445.80000000002
4317,7,532136.6,194460.8
4317,8,543476.8,202379.8
4317,9,550134.0,202937.4
4317,10,592443.6,218973.80000000002
4317,11,566133.2,212805.4
4317,12,555488.0,207797.2
4318,1,311691.6,77490.0
4318,2,293391.8,70626.2
4318,3,338571.0,92288.8
4318,4,315582.2,75427.2
4318,5,341820.6,122135.6
4318,6,332003.2,142767.8
4318,7,309341.2,154008.0
4318,8,315541.0,187058.2
4318,9,322588.4,149642.8
4318,10,333721.4,150873.4
4318,11,307779.8,132528.4
4318,12,297517.6,125825.0
4401,1,2829775.0,2255396.6
4401,2,2669945.4,2123458.2
4401,3,3085859.4,2432998.8000000003
4401,4,2997181.6,2361210.4
4401,5,3100827.4,2415730.2
4401,6,2971157.6,2343903.6
4401,7,2813645.4,2300593.8
4401,8,2806179.1999999997,2300667.0
4401,9,2885986.8,2326955.2
4401,10,3169435.4,2524071.4
4401,11,2926188.2,2312683.6
4401,12,2891935.2,2293810.6
4402,1,3279183.4,2551432.0
4402,2,3113647.4,2391125.8000000003
4402,3,3633212.0,2767575.2
4402,4,3503442.6,2717925.8
