complex_id,month,entries,exits
388,1,234617.4,234999.0
391,1,82241.0,71581.0
392,1,635743.8,622757.6
393,1,401449.6,234008.8
394,1,307250.6,248647.2
395,1,370217.2,323036.2
396,1,527771.2,142573.8
397,1,1351295.6,1190607.8
141,1,48226.8,55049.8
143,1,241218.6,119026.4
144,1,171143.4,5067.8
145,1,106090.2,40895.4
146,1,285675.2,235221.2
147,1,321159.2,175522.8
149,1,113442.75,53049.0
150,1,70181.0,59691.8
151,1,591025.2,569318.8
152,1,132217.2,101560.2
153,1,726581.2,593060.8
154,1,183094.6,106161.0
155,1,181362.5,107916.5
156,1,116455.0,82499.0
157,1,237080.0,185891.2
158,1,264456.75,144573.5
159,1,324517.2,265547.4
160,1,203390.75,181308.25
162,1,526103.2,336605.6
164,1,2015554.4,1811469.4
165,1,588316.0,397547.6
167,1,1050375.8,992432.2
168,1,302658.0,62095.0
169,1,467860.8,397929.0
173,1,211958.8,211286.0
175,1,260908.0,225631.8
176,1,130380.8,56766.2
177,1,158764.6,128254.8
179,1,459289.2,323013.0
180,1,165809.8,136676.4
181,1,415143.8,314523.8
182,1,151276.6,76543.6
183,1,143781.0,86149.0
185,1,71973.6,35824.0
186,1,81638.0,75862.4
187,1,84959.4,45626.4
188,1,261539.6,82031.6
189,1,163696.0,129571.6
190,1,97032.0,55066.8
191,1,61028.8,23415.6
192,1,197975.6,63449.8
193,1,34378.8,13100.8
194,1,53311.0,21881.8
195,1,185484.0,154950.6
196,1,50208.0,5318.0
197,1,24653.0,47401.2
198,1,104169.0,103791.6
199,1,7178.2,2053.8
200,1,19597.6,18352.2
201,1,11517.6,11848.2
202,1,5802.8,6987.4
203,1,15628.6,20068.6
204,1,56779.2,50502.0
205,1,58398.6,51669.2
206,1,17193.4,18491.4
207,1,23760.2,25232.0
208,1,46089.4,50843.2
209,1,121267.0,126076.2
210,1,222303.8,164204.2
211,1,181882.6,112419.2
212,1,206112.4,153354.8
213,1,302579.0,145834.4
214,1,122307.0,49426.8
215,1,249828.6,155412.2
216,1,134020.0,55654.25
217,1,187364.6,94532.4
218,1,239538.0,106163.5
220,1,100981.6,52624.2
221,1,238829.6,176693.0
222,1,159672.2,149345.0
223,1,395762.4,418536.6
224,1,345465.75,311339.75
225,1,1421753.2,1453287.2
228,1,609300.0,564664.5
231,1,612507.8,421860.2
232,1,441461.4,439836.8
234,1,359786.2,178946.6
235,1,240280.8,133991.0
236,1,302914.0,184989.0
237,1,298447.4,129861.2
238,1,122452.2,143238.4
240,1,305925.6,119296.8
241,1,162589.2,81867.8
242,1,149356.6,49880.6
243,1,259932.6,175674.6
244,1,97742.6,57372.4
245,1,104068.4,65998.4
246,1,44740.6,20085.6
247,1,26800.2,8387.8
248,1,70933.8,37326.8
249,1,56975.2,21824.0
250,1,109096.4,90811.4
251,1,47228.0,15944.2
252,1,64771.8,29860.8
253,1,40137.6,13984.2
254,1,526305.0,233532.0
255,1,213419.8,182027.4
256,1,169241.2,164426.6
257,1,116716.8,71852.2
258,1,101190.6,51927.0
259,1,658218.6,660794.0
260,1,90207.0,11942.2
261,1,685470.8,340707.0
262,1,229085.6,115544.4
263,1,408140.2,164331.6
264,1,549393.8,315499.4
265,1,422654.6,239956.6
266,1,329682.0,80401.6
268,1,95208.2,71788.0
269,1,180146.8,147576.2
270,1,231726.6,191143.6
1,1,419131.6,372816.8
2,1,336964.25,243445.0
3,1,379725.6666666667,324240.0
4,1,263673.5,216506.0
5,1,199450.0,176900.0
6,1,74919.33333333333,54416.333333333336
8,1,415108.4,301827.8
9,1,763362.8,409825.8
10,1,655470.0,558823.2
13,1,328109.4,363132.0
14,1,603831.6,332541.4
16,1,434346.8,316700.6
17,1,396734.8,391382.4
20,1,145760.8,80397.2
22,1,157799.4,57470.8
26,1,487536.8,217398.6
28,1,177006.0,144667.8
30,1,145138.6,120538.6
31,1,96744.8,79980.8
32,1,344570.0,208105.0
33,1,179187.8,115503.2
34,1,197172.2,128513.8
35,1,309860.4,151630.2
36,1,230695.0,118193.0
37,1,140371.0,52805.2
38,1,293413.8,172086.0
39,1,118616.2,73402.0
41,1,253298.8,234319.8
42,1,251230.6,213508.8
43,1,155779.8,115500.0
44,1,426100.2,427765.8
45,1,80425.8,73196.6
46,1,162443.2,48785.8
47,1,262671.2,246361.8
48,1,72855.0,58004.2
