year,month,period,day_group,ridership,baseline,baseline_comparison,omny_pct
2023,8,2023-08-01,total,94666920.0,139711161.16,0.6776,46.99
2023,8,2023-08-01,weekday,77627642.0,117449637.12,0.6609,46.21
2023,8,2023-08-01,weekend,17039278.0,22261524.04,0.7654,50.53
2023,9,2023-09-01,total,95990088.0,141791943.97,0.677,47.31
2023,9,2023-09-01,weekday,76900480.0,115288665.0,0.667,45.98
2023,9,2023-09-01,weekend,19089608.0,26503278.96,0.7203,52.68
2023,10,2023-10-01,total,105225533.0,155641139.87,0.6761,47.04
2023,10,2023-10-01,weekday,85625829.0,132036662.36,0.6485,45.53
2023,10,2023-10-01,weekend,19599704.0,23604477.56,0.8303,53.64
2023,11,2023-11-01,total,99356762.0,143321716.51,0.6932,48.46
2023,11,2023-11-01,weekday,81579417.0,119713023.51,0.6815,46.94
2023,11,2023-11-01,weekend,17777345.0,23608693.11,0.753,55.44
2023,12,2023-12-01,total,97970849.0,139357580.86,0.703,49.79
2023,12,2023-12-01,weekday,75351861.0,111693927.99,0.6746,48.02
2023,12,2023-12-01,weekend,22618988.0,27663652.89,0.8176,55.68
2024,1,2024-01-01,total,92465722.0,134727814.0,0.6863,50.22
2024,1,2024-01-01,weekday,77634890.0,115196516.0,0.6739,48.9
2024,1,2024-01-01,weekend,14830832.0,19531298.0,0.7593,57.16
2024,2,2024-02-01,total,91275693.0,128487909.04,0.7104,51.05
2024,2,2024-02-01,weekday,74839660.0,107683067.21,0.695,49.55
2024,2,2024-02-01,weekend,16436033.0,20804841.78,0.79,57.89
2024,3,2024-03-01,total,101031532.0,146903871.24,0.6877,51.28
2024,3,2024-03-01,weekday,80013216.0,122101888.22,0.6553,49.58
2024,3,2024-03-01,weekend,21018316.0,24801983.14,0.8474,57.78
2024,4,2024-04-01,total,100283746.0,143961426.52,0.6966,51.85
2024,4,2024-04-01,weekday,82171388.0,118246802.92,0.6949,50.5
2024,4,2024-04-01,weekend,18112358.0,25714623.7,0.7044,57.97
2024,5,2024-05-01,total,106915502.0,152174508.87,0.7026,52.9
2024,5,2024-05-01,weekday,88662427.0,129971977.17,0.6822,51.56
